ID,YEAR,MO,DY,WS2M,T2M,T2MDEW,T2MWET,Target,RH2M,PS,QV2M,DATE
ID_IODka8_20140721,2014,7,21,1.83,22.67,18.75,20.71,0.0,79.73,96.49,14.07,2014-07-21
ID_JeycV8_20110904,2011,9,4,2.92,25.99,18.95,22.47,0.01,66.8,96.11,14.3,2011-09-04
ID_gdbFWm_20180416,2018,4,16,1.06,25.29,22.11,23.7,3.85,83.56,96.3,17.37,2018-04-16
ID_lR86N5_20190506,2019,5,6,0.66,26.04,22.93,24.49,2.8,83.68,96.15,18.3,2019-05-06
ID_v4KHmp_20200908,2020,9,8,1.86,25.35,20.98,23.16,2.58,77.9,96.1,16.24,2020-09-08
ID_cWIw9C_20110731,2011,7,31,1.52,24.34,18.59,21.46,0.0,72.22,96.06,14.0,2011-07-31
ID_rYJYuB_20220414,2022,4,14,0.82,24.81,22.39,23.6,14.25,86.91,95.92,17.75,2022-04-14
ID_XCQUIO_20220606,2022,6,6,1.25,23.62,19.99,21.8,0.01,81.21,96.21,15.27,2022-06-06
ID_KU10vH_20130326,2013,3,26,0.72,25.18,22.23,23.7,6.15,84.01,96.1,17.53,2013-03-26
ID_LjruwI_20120607,2012,6,7,0.78,24.43,20.05,22.24,0.01,77.9,96.32,15.28,2012-06-07
ID_PrrNjv_20190110,2019,1,10,0.63,24.88,21.23,23.05,2.35,80.61,96.09,16.48,2019-01-10
ID_TMYHJF_20170312,2017,3,12,0.74,25.0,21.75,23.37,1.38,82.93,96.01,17.04,2017-03-12
ID_xvpKFJ_20170902,2017,9,2,2.61,24.07,19.72,21.9,0.3,77.46,96.33,14.98,2017-09-02
ID_QmmiBJ_20120328,2012,3,28,1.02,25.36,23.0,24.18,14.23,87.3,96.06,18.39,2012-03-28
ID_VqaKmi_20211221,2021,12,21,1.37,26.18,23.01,24.6,0.65,83.71,96.01,18.4,2021-12-21
ID_kQTq4i_20150718,2015,7,18,2.05,25.08,19.44,22.26,0.0,72.57,96.32,14.71,2015-07-18
ID_MTj6oU_20100728,2010,7,28,2.3,22.68,18.87,20.78,0.0,80.2,96.41,14.19,2010-07-28
ID_XeFozX_20101021,2010,10,21,1.46,24.84,21.51,23.17,3.35,82.7,96.06,16.77,2010-10-21
ID_XPKo2v_20130124,2013,1,24,1.16,24.59,22.26,23.42,2.04,87.19,96.13,17.55,2013-01-24
ID_SGwDqe_20170114,2017,1,14,0.76,25.57,20.51,23.04,0.25,75.61,95.92,15.8,2017-01-14
ID_5tFMMz_20160506,2016,5,6,0.71,25.46,22.28,23.87,3.18,83.1,96.19,17.58,2016-05-06
ID_uW774j_20130618,2013,6,18,1.4,22.6,18.06,20.34,0.0,77.04,96.21,13.52,2013-06-18
ID_1uTElF_20120917,2012,9,17,1.32,24.93,21.19,23.06,4.22,80.48,96.24,16.41,2012-09-17
ID_elvXdZ_20231221,2023,12,21,1.23,25.85,23.05,24.45,13.75,85.08,96.1,18.43,2023-12-21
ID_5hQKus_20211005,2021,10,5,1.17,23.37,21.7,22.54,3.06,90.5,96.2,16.94,2021-10-05
ID_QLldyK_20160730,2016,7,30,2.03,22.62,18.63,20.62,0.0,79.16,96.27,14.01,2016-07-30
ID_Srqt3C_20101220,2010,12,20,0.81,24.88,21.3,23.09,5.33,81.71,95.98,16.57,2010-12-20
ID_39dbGY_20150710,2015,7,10,1.29,25.54,21.35,23.45,0.02,78.42,96.27,16.58,2015-07-10
ID_SCj2NZ_20140604,2014,6,4,1.33,24.87,22.25,23.56,0.09,85.71,96.04,17.56,2014-06-04
ID_Zyvdf0_20181010,2018,10,10,0.9,25.85,21.41,23.63,10.92,77.36,96.08,16.67,2018-10-10
ID_rY45AH_20140129,2014,1,29,0.87,24.73,21.07,22.9,5.67,80.68,95.95,16.36,2014-01-29
ID_3puwVb_20170509,2017,5,9,1.17,25.83,23.35,24.59,3.89,86.56,95.94,18.81,2017-05-09
ID_0HCtvq_20171227,2017,12,27,0.98,25.08,22.7,23.89,9.91,87.4,96.02,18.06,2017-12-27
ID_PaMtOc_20181016,2018,10,16,0.92,24.4,21.3,22.85,4.03,83.36,96.27,16.52,2018-10-16
ID_P8sOc0_20130513,2013,5,13,1.09,25.07,22.57,23.82,2.66,86.5,96.25,17.87,2013-05-13
ID_x9uvii_20100917,2010,9,17,1.34,26.23,20.25,23.24,0.37,71.27,96.12,15.51,2010-09-17
ID_LobED8_20150222,2015,2,22,1.42,24.28,22.13,23.2,10.63,88.14,96.06,17.43,2015-02-22
ID_mL9z4j_20150417,2015,4,17,0.6,25.57,21.06,23.32,1.48,77.22,96.33,16.27,2015-04-17
ID_QZozGi_20230413,2023,4,13,0.57,25.63,21.8,23.71,1.93,80.35,95.97,17.11,2023-04-13
ID_ORmFYt_20230715,2023,7,15,1.03,23.88,19.22,21.55,0.03,76.34,96.26,14.55,2023-07-15
ID_Eydsbv_20170425,2017,4,25,0.51,26.45,22.07,24.26,4.25,77.86,96.12,17.36,2017-04-25
ID_jrXa85_20100222,2010,2,22,1.2,26.36,22.93,24.64,0.23,82.43,95.94,18.33,2010-02-22
ID_QijVM6_20220309,2022,3,9,0.84,25.67,22.53,24.1,4.64,83.49,95.76,17.94,2022-03-09
ID_fdU8jg_20150628,2015,6,28,1.44,24.03,18.37,21.2,0.0,72.6,96.45,13.74,2015-06-28
ID_WmwtSE_20160421,2016,4,21,1.1,26.25,23.18,24.72,2.65,83.96,96.08,18.59,2016-04-21
ID_k2mnHs_20170718,2017,7,18,1.62,23.68,20.17,21.93,0.0,81.6,96.42,15.39,2017-07-18
ID_8NJ7AN_20181118,2018,11,18,0.47,25.65,22.22,23.94,17.59,81.98,96.15,17.53,2018-11-18
ID_P6N6cu_20160929,2016,9,29,0.83,27.27,20.59,23.93,1.29,68.46,96.14,15.83,2016-09-29
ID_3iRmFC_20140119,2014,1,19,1.18,24.19,22.13,23.17,3.22,88.53,96.28,17.4,2014-01-19
ID_LhWthh_20140216,2014,2,16,1.38,24.8,21.45,23.12,2.64,82.45,96.05,16.72,2014-02-16
ID_kXhOuK_20121030,2012,10,30,2.06,24.78,22.16,23.47,10.26,86.12,96.06,17.46,2012-10-30
ID_NqZTQ2_20130102,2013,1,2,0.91,25.9,21.52,23.71,2.62,77.72,96.04,16.79,2013-01-02
ID_PriaG5_20140109,2014,1,9,1.12,25.06,21.82,23.44,3.31,82.87,96.03,17.12,2014-01-09
ID_eILuiS_20110628,2011,6,28,1.63,23.84,19.62,21.73,0.0,78.66,96.22,14.89,2011-06-28
ID_vOOuIm_20121112,2012,11,12,1.3,25.91,22.59,24.25,20.42,82.57,96.03,17.94,2012-11-12
ID_ThCl8T_20220203,2022,2,3,1.55,23.76,22.25,23.01,11.27,91.39,96.15,17.53,2022-02-03
ID_tXYi5t_20190512,2019,5,12,0.89,25.62,22.82,24.22,3.76,84.81,96.08,18.19,2019-05-12
ID_UAlErU_20100131,2010,1,31,1.04,26.9,22.45,24.67,8.02,77.36,96.06,17.8,2010-01-31
ID_lkKNdc_20111227,2011,12,27,0.58,25.97,22.06,24.01,0.88,79.99,96.18,17.34,2011-12-27
ID_SNigUK_20170607,2017,6,7,1.29,24.61,21.55,23.08,0.32,83.84,96.28,16.79,2017-06-07
ID_Dhtjxd_20190710,2019,7,10,1.97,24.2,17.98,21.09,0.0,70.04,96.35,13.42,2019-07-10
ID_LJwtBr_20231017,2023,10,17,1.47,26.53,22.32,24.43,6.54,78.91,96.1,17.64,2023-10-17
ID_Q2ZXpm_20131127,2013,11,27,0.68,25.41,20.06,22.74,3.41,73.62,96.0,15.36,2013-11-27
ID_jr14cN_20231011,2023,10,11,1.0,25.26,21.14,23.2,2.38,78.96,96.24,16.37,2023-10-11
ID_s7bgY1_20170308,2017,3,8,0.73,24.74,21.74,23.24,2.61,84.09,96.04,17.02,2017-03-08
ID_WvgOEG_20110313,2011,3,13,0.85,25.39,21.91,23.65,1.91,81.7,95.83,17.24,2011-03-13
ID_DAhPGJ_20211203,2021,12,3,0.89,25.08,22.27,23.67,2.64,85.1,96.01,17.6,2021-12-03
ID_hszJl0_20120701,2012,7,1,1.43,23.66,20.4,22.03,0.16,82.79,96.2,15.64,2012-07-01
ID_nv5Fgz_20211030,2021,10,30,0.89,25.53,21.17,23.35,2.16,77.97,96.07,16.42,2021-10-30
ID_icRLW5_20140508,2014,5,8,0.68,24.55,21.76,23.16,25.93,85.15,96.17,17.02,2014-05-08
ID_OBPEF1_20220322,2022,3,22,1.09,24.6,22.42,23.51,2.05,87.98,96.05,17.75,2022-03-22
ID_Hoad0O_20220822,2022,8,22,1.89,24.53,20.03,22.28,0.31,77.32,96.19,15.3,2022-08-22
ID_c21eq4_20210622,2021,6,22,1.27,23.77,20.37,22.07,0.44,81.89,96.26,15.61,2021-06-22
ID_DcvXSi_20140510,2014,5,10,0.98,25.15,22.44,23.8,7.54,85.69,96.05,17.78,2014-05-10
